date,open,high,low,close,adjclose,volume
2017-08-10,215.5,215.5,212.5,214.0,191.46,26273000.0
2017-08-11,211.0,213.5,210.5,212.5,190.11,41417000.0
2017-08-14,213.5,214.0,210.0,211.0,188.77,29299000.0
2017-08-15,213.0,214.5,213.0,214.0,191.46,13512000.0
2017-08-16,214.5,214.5,211.0,213.0,190.56,25176000.0
2017-08-17,213.5,214.0,213.0,214.0,191.46,8334000.0
2017-08-18,212.0,213.0,211.0,212.5,190.11,13711000.0
2017-08-21,212.5,213.0,211.5,211.5,189.22,11882499.0
2017-08-22,213.5,214.5,213.0,214.5,191.9,14211415.0
2017-08-23,215.5,216.0,214.0,215.5,192.8,11589917.0
2017-08-24,216.0,217.0,215.5,217.0,194.14,15224842.0
2017-08-25,217.5,217.5,216.0,217.5,194.59,10125387.0
2017-08-28,215.0,216.5,215.0,216.0,193.24,15236159.0
2017-08-29,216.0,216.0,215.0,216.0,193.24,16160161.0
2017-08-30,216.0,218.0,216.0,217.5,194.59,19674310.0
2017-08-31,217.5,218.0,215.5,216.5,193.69,26434202.0
2017-09-01,215.0,217.5,215.0,216.5,193.69,17805405.0
2017-09-04,216.5,218.0,215.5,217.5,194.59,15023185.0
2017-09-05,218.0,218.0,216.5,218.0,195.03,17357347.0
2017-09-06,216.5,218.0,216.0,217.0,194.14,16012662.0
2017-09-07,218.0,218.5,216.0,217.0,194.14,19135540.0
2017-09-08,217.0,218.0,216.5,218.0,195.03,25512045.0
2017-09-11,219.0,219.5,216.5,217.0,194.14,19026886.0
2017-09-12,219.0,219.5,217.5,219.0,195.93,21588321.0
2017-09-13,217.5,219.0,217.5,218.0,195.03,17555541.0
2017-09-14,218.5,219.0,217.5,218.5,195.48,18315567.0
2017-09-15,218.5,219.0,217.0,218.5,195.48,44551103.0
2017-09-18,219.0,220.0,218.0,219.5,196.38,17654705.0
2017-09-19,221.5,221.5,220.0,221.5,198.17,23410233.0
2017-09-20,221.0,222.0,220.0,221.5,198.17,20320237.0
2017-09-21,221.0,223.0,220.0,221.0,197.72,18645565.0
2017-09-22,221.5,222.0,218.5,218.5,195.48,21557370.0
2017-09-25,217.5,218.5,217.0,217.0,194.14,16876286.0
2017-09-26,217.5,218.0,214.0,214.0,191.46,23070901.0
2017-09-27,217.5,217.5,215.0,215.0,192.35,22590510.0
2017-09-28,215.0,216.0,213.5,214.0,191.46,31616062.0
2017-09-29,216.0,217.5,215.5,216.5,193.69,21380708.0
2017-10-02,219.5,220.5,218.5,220.5,197.27,27983551.0
2017-10-03,219.0,223.0,219.0,222.5,199.06,36679938.0
2017-10-05,222.0,225.5,222.0,224.5,200.85,23349939.0
2017-10-06,225.0,225.5,223.5,224.5,200.85,15642516.0
2017-10-11,226.5,233.5,226.5,233.0,208.45,63667562.0
2017-10-12,235.0,237.5,234.5,237.5,212.48,42390186.0
2017-10-13,237.5,237.5,234.5,237.5,212.48,23145071.0
2017-10-16,237.5,238.0,236.0,238.0,212.93,19964072.0
2017-10-17,238.0,238.0,235.0,235.5,210.69,17652304.0
2017-10-18,239.5,239.5,237.0,237.5,212.48,28886850.0
2017-10-19,239.5,241.5,239.0,239.0,213.82,23481776.0
2017-10-20,238.0,239.5,237.5,237.5,212.48,24722035.0
2017-10-23,239.0,240.0,238.5,239.0,213.82,15772559.0
2017-10-24,240.0,240.0,238.0,238.0,212.93,14975093.0
2017-10-25,238.5,239.0,237.5,238.0,212.93,16880187.0
2017-10-26,237.0,238.0,236.0,236.0,211.14,12959717.0
2017-10-27,237.5,240.0,237.5,239.0,213.82,17773541.0
2017-10-30,242.0,245.0,241.5,243.0,217.4,27784990.0
2017-10-31,243.5,245.0,241.5,243.0,217.4,22582013.0
2017-11-01,243.5,245.0,241.5,242.5,216.95,20389054.0
2017-11-02,242.0,242.5,240.5,241.0,215.61,15810342.0
2017-11-03,240.5,241.0,238.5,239.0,213.82,16528682.0
2017-11-06,243.5,244.0,239.0,239.5,214.27,21029415.0
